day,1964-66,1997-98,1998-2002 dot-com,2020-22,2023-25,2025-26 current
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01,0.18,-0.07,0.03,0.05,0.03
2,0.02,0.21,-0.15,-0.09,0.14,-0.02
3,0.02,0.21,-0.16,-0.08,0.24,0.0
4,0.02,0.19,-0.12,-0.04,0.25,0.04
5,0.03,0.22,-0.05,0.09,0.2,0.09
6,0.03,0.36,-0.14,0.11,0.18,0.14
7,0.04,0.34,-0.18,0.01,0.05,0.16
8,0.04,0.37,-0.21,0.02,-0.05,0.08
9,0.05,0.34,-0.13,0.04,0.02,0.09
10,0.04,0.25,-0.16,0.0,0.0,0.17
11,0.05,0.25,-0.12,0.01,-0.01,0.17
12,0.06,0.19,-0.16,-0.01,-0.06,0.24
13,0.07,0.19,-0.16,-0.04,0.04,0.2
14,0.08,0.22,-0.16,-0.01,0.03,0.21
15,0.08,0.28,-0.1,0.01,0.05,0.18
16,0.09,0.36,-0.04,0.01,0.1,0.12
17,0.09,0.37,0.07,-0.03,0.05,0.09
18,0.08,0.36,0.12,-0.03,0.2,0.14
19,0.08,0.36,0.04,0.05,0.15,0.17
20,0.06,0.28,-0.03,0.08,0.16,0.14
21,0.06,0.32,-0.09,0.05,0.24,0.16
22,0.07,0.29,-0.09,0.1,0.27,0.08
23,0.08,0.31,-0.05,0.07,0.39,0.12
24,0.08,0.31,0.0,0.05,0.24,0.11
25,0.08,0.35,-0.01,0.08,0.28,-0.03
26,0.05,0.31,0.03,0.05,0.21,-0.04
27,0.05,0.32,0.12,0.03,0.19,-0.04
28,0.05,0.35,0.16,0.03,0.28,-0.04
29,0.06,0.37,0.08,0.05,0.35,-0.03
30,0.07,0.27,0.0,0.05,0.38,0.01
31,0.06,0.26,-0.11,0.07,0.4,0.01
32,0.06,0.09,-0.08,0.08,0.47,0.03
33,0.07,0.08,-0.03,0.08,0.49,-0.02
34,0.07,0.09,0.02,0.06,0.45,0.03
35,0.06,0.07,-0.04,0.09,0.53,0.07
36,0.06,0.04,-0.1,0.07,0.53,0.08
37,0.06,0.08,-0.07,0.07,0.38,0.04
38,0.06,0.02,-0.05,0.07,0.42,0.03
39,0.06,0.11,-0.06,0.06,0.44,0.07
40,0.06,0.06,-0.07,0.06,0.39,0.0
41,0.05,0.08,-0.08,0.06,0.31,0.02
42,0.05,0.1,0.01,0.09,0.31,0.0
43,0.05,0.02,0.05,0.17,0.28,-0.02
44,0.05,-0.01,0.09,0.21,0.37,-0.04
45,0.05,-0.01,0.15,0.26,0.46,-0.03
46,0.05,-0.06,0.2,0.28,0.49,0.02
47,0.05,-0.08,0.2,0.28,0.46,-0.04
48,0.03,0.06,0.17,0.23,0.45,-0.09
49,0.02,0.07,0.16,0.28,0.48,-0.16
50,0.02,0.13,0.19,0.24,0.46,-0.21
51,0.02,0.05,0.32,0.23,0.44,-0.18
52,0.02,0.08,0.29,0.23,0.48,-0.22
53,0.02,0.07,0.24,0.25,0.52,-0.25
54,0.02,0.15,0.3,0.23,0.51,-0.2
55,0.02,0.13,0.33,0.18,0.56,-0.21
56,0.03,0.12,0.29,0.18,0.54,-0.22
57,0.03,0.1,0.36,0.17,0.68,-0.2
58,0.03,0.02,0.44,0.2,0.63,-0.15
59,0.02,-0.01,0.58,0.24,0.74,-0.12
60,0.02,-0.11,0.55,0.22,0.75,-0.11
61,0.03,-0.04,0.66,0.25,0.8,-0.14
62,0.02,-0.11,0.61,0.28,0.78,-0.1
63,0.02,-0.18,0.65,0.28,0.78,-0.08
64,0.02,-0.18,0.67,0.32,0.88,-0.06
65,0.02,-0.11,0.6,0.32,1.0,-0.11
66,0.02,-0.07,0.55,0.31,0.92,-0.1
67,0.01,-0.07,0.44,0.28,0.91,-0.14
68,0.01,-0.12,0.46,0.29,0.97,-0.16
69,0.0,-0.12,0.47,0.33,0.85,-0.13
70,0.0,-0.11,0.42,0.43,0.77,-0.08
71,0.01,-0.13,0.41,0.42,0.89,-0.12
72,0.01,-0.15,0.37,0.42,0.82,-0.13
73,0.01,-0.16,0.4,0.47,0.9,-0.12
74,0.01,-0.17,0.37,0.5,1.02,-0.21
75,0.01,-0.17,0.43,0.5,1.1,-0.23
76,0.0,-0.2,0.47,0.51,1.17,-0.21
77,-0.01,-0.18,0.46,0.67,1.12,-0.27
78,-0.02,-0.2,0.43,0.57,1.05,-0.24
79,-0.02,-0.16,0.47,0.58,1.02,-0.26
80,-0.02,-0.17,0.47,0.55,1.14,-0.28
81,-0.02,-0.16,0.54,0.6,1.05,-0.29
82,-0.02,-0.16,0.47,0.67,1.03,-0.25
83,-0.02,-0.16,0.51,0.69,1.07,-0.24
84,-0.02,-0.16,0.53,0.72,1.07,-0.25
85,-0.02,-0.19,0.46,0.68,0.96,-0.27
86,-0.02,-0.18,0.46,0.66,0.86,-0.18
87,-0.01,-0.1,0.39,0.67,0.76,-0.15
88,-0.02,-0.06,0.4,0.77,0.86,-0.15
89,-0.02,-0.07,0.29,0.75,0.77,-0.13
90,0.01,-0.12,0.31,0.75,0.68,-0.16
91,0.02,-0.2,0.32,0.76,0.81,-0.09
92,0.02,-0.28,0.38,0.84,0.8,-0.15
93,0.02,-0.24,0.39,0.87,0.82,-0.15
94,0.02,-0.25,0.44,0.82,0.63,-0.13
95,0.02,-0.21,0.49,0.76,0.72,-0.18
96,0.03,-0.26,0.44,0.75,0.64,-0.15
97,0.04,-0.3,0.42,0.76,0.63,-0.12
98,0.03,-0.3,0.43,0.8,0.61,-0.13
99,0.04,-0.29,0.51,0.86,0.6,-0.14
100,0.03,-0.26,0.52,0.86,0.61,-0.13
101,0.03,-0.27,0.49,0.87,0.66,-0.16
102,0.03,-0.26,0.48,0.82,0.58,-0.2
103,0.03,-0.22,0.53,0.85,0.53,-0.22
104,0.03,-0.27,0.48,0.86,0.46,-0.25
105,0.02,-0.35,0.62,0.8,0.56,-0.26
106,0.02,-0.5,0.64,0.81,0.41,-0.24
107,0.02,-0.53,0.68,0.77,0.47,-0.17
108,0.02,-0.47,0.66,0.8,0.37,-0.17
109,0.02,-0.53,0.78,0.82,0.31,-0.2
110,0.01,-0.62,0.8,0.77,0.33,-0.15
111,0.02,-0.63,0.8,0.77,0.42,-0.12
112,0.02,-0.61,0.85,0.69,0.42,-0.09
113,0.03,-0.57,0.77,0.72,0.39,-0.08
114,0.03,-0.54,0.67,0.74,0.23,-0.13
115,0.02,-0.48,0.88,0.71,0.11,-0.12
116,0.02,-0.45,0.92,0.7,0.1,-0.07
117,0.02,-0.48,0.94,0.7,0.14,-0.08
118,0.02,-0.46,0.86,0.71,0.12,-0.11
119,0.02,-0.32,0.86,0.71,0.05,-0.1
120,0.02,-0.39,0.78,0.76,0.08,-0.14
121,0.02,-0.32,0.76,0.76,0.09,-0.1
122,0.02,-0.33,0.75,0.78,0.08,-0.09
123,0.03,-0.44,0.81,0.78,-0.02,-0.08
124,0.03,-0.49,0.88,0.76,0.03,-0.11
125,0.03,-0.45,0.9,0.74,0.07,-0.12
126,0.04,-0.46,1.04,0.72,0.14,-0.14
127,0.04,-0.45,1.06,0.71,0.1,-0.12
128,0.04,-0.4,1.06,0.73,0.18,-0.08
129,0.05,-0.4,1.08,0.76,0.24,-0.07
130,0.05,-0.37,1.07,0.77,0.2,-0.09
131,0.05,-0.38,1.09,0.82,0.21,-0.08
132,0.05,-0.49,1.13,0.79,0.23,-0.11
133,0.05,-0.5,1.18,0.76,0.17,-0.07
134,0.05,-0.53,1.28,0.77,0.15,-0.08
135,0.05,-0.58,1.24,0.77,0.26,-0.07
136,0.05,-0.53,1.24,0.81,0.29,-0.08
137,0.05,-0.51,1.2,0.76,0.33,-0.11
138,0.04,-0.48,1.05,0.76,0.34,-0.09
139,0.03,-0.44,1.1,0.74,0.3,-0.02
140,0.03,-0.33,1.16,0.69,0.33,0.04
141,0.02,-0.39,1.2,0.71,0.37,0.0
142,0.02,-0.37,1.26,0.74,0.33,0.0
143,0.02,-0.4,1.31,0.71,0.34,-0.02
144,0.02,-0.3,1.28,0.75,0.27,-0.04
145,0.02,-0.25,1.22,0.72,0.25,-0.02
146,0.0,-0.26,1.19,0.76,0.18,0.0
147,0.01,-0.24,1.07,0.69,0.06,-0.02
148,0.01,-0.29,1.11,0.7,0.22,0.0
149,0.01,-0.35,1.08,0.66,0.36,0.03
150,0.01,-0.35,1.14,0.63,0.28,0.02
151,0.03,-0.39,1.18,0.58,0.28,0.03
152,0.02,-0.46,1.11,0.6,0.34,-0.05
153,0.02,-0.44,1.1,0.64,0.36,-0.04
154,0.02,-0.48,1.0,0.64,0.36,-0.04
155,0.02,-0.46,0.97,0.7,0.5,-0.1
156,0.02,-0.44,1.0,0.65,0.46,-0.08
157,0.02,-0.44,0.98,0.58,0.43,-0.17
158,0.03,-0.45,0.94,0.63,0.49,-0.22
159,0.04,-0.45,0.92,0.61,0.46,-0.21
