week,2023,2024,2025,2026
1,210000.0,201000.0,206000.0,207000.0
2,204000.0,195000.0,219000.0,201000.0
3,204000.0,224000.0,223000.0,210000.0
4,200000.0,226000.0,212000.0,211000.0
5,215000.0,213000.0,220000.0,230000.0
6,220000.0,213000.0,216000.0,230000.0
7,217000.0,202000.0,223000.0,208000.0
8,207000.0,212000.0,241000.0,211000.0
9,230000.0,213000.0,224000.0,214000.0
10,222000.0,213000.0,222000.0,213000.0
11,230000.0,213000.0,225000.0,205000.0
12,234000.0,214000.0,224000.0,211000.0
13,217000.0,223000.0,220000.0,203000.0
14,220000.0,213000.0,223000.0,218000.0
15,223000.0,212000.0,217000.0,208000.0
16,209000.0,209000.0,224000.0,215000.0
17,213000.0,207000.0,239000.0,190000.0
18,223000.0,230000.0,228000.0,199000.0
19,225000.0,222000.0,226000.0,212000.0
20,227000.0,216000.0,225000.0,210000.0
21,229000.0,220000.0,236000.0,212000.0
22,252000.0,227000.0,244000.0,225000.0
23,256000.0,240000.0,246000.0,230000.0
24,259000.0,236000.0,243000.0,227000.0
25,236000.0,233000.0,236000.0,216000.0
26,248000.0,238000.0,231000.0,217000.0
27,230000.0,223000.0,228000.0,217000.0
28,229000.0,241000.0,221000.0,209000.0
29,231000.0,237000.0,218000.0,189000.0
30,238000.0,248000.0,219000.0,198000.0
31,258000.0,234000.0,226000.0,199000.0
32,248000.0,228000.0,224000.0,
33,240000.0,232000.0,233000.0,
34,234000.0,232000.0,229000.0,
35,225000.0,227000.0,236000.0,
36,225000.0,227000.0,259000.0,
37,211000.0,223000.0,233000.0,
38,216000.0,221000.0,219000.0,
39,216000.0,227000.0,225000.0,
40,210000.0,258000.0,233000.0,
41,200000.0,241000.0,222000.0,
42,214000.0,227000.0,231000.0,
43,217000.0,219000.0,221000.0,
44,216000.0,221000.0,228000.0,
45,230000.0,218000.0,228000.0,
46,213000.0,216000.0,222000.0,
47,213000.0,219000.0,218000.0,
48,215000.0,222000.0,216000.0,
49,203000.0,238000.0,235000.0,
50,209000.0,222000.0,224000.0,
51,212000.0,219000.0,215000.0,
52,200000.0,212000.0,203000.0,
