date,total,data_center,ex_data_center,total_real,data_center_real,ex_data_center_real
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,2.873,1.907,0.966,-5.072,1.623,-6.694
2024-03-01,7.444,3.76,3.684,15.645,4.071,11.574
2024-04-01,-1.982,1.657,-3.639,8.114,2.017,6.096
2024-05-01,0.794,5.859,-5.065,12.624,6.343,6.281
2024-06-01,10.776,8.892,1.884,25.549,9.545,16.004
2024-07-01,8.492,9.712,-1.22,30.072,10.69,19.382
2024-08-01,14.189,10.256,3.933,38.224,11.354,26.869
2024-09-01,14.037,11.164,2.873,39.469,12.355,27.114
2024-10-01,9.246,13.636,-4.39,31.169,14.737,16.432
2024-11-01,19.5,14.539,4.961,37.894,15.472,22.423
2024-12-01,16.46,18.291,-1.831,40.637,19.634,21.003
2025-01-01,15.048,18.929,-3.881,35.053,20.058,14.995
2025-02-01,17.483,19.997,-2.514,30.139,20.726,9.413
2025-03-01,7.091,20.181,-13.09,5.645,20.096,-14.451
2025-04-01,17.899,26.406,-8.507,11.19,25.966,-14.776
2025-05-01,2.742,21.798,-19.056,-19.517,20.441,-39.958
2025-06-01,-6.119,20.438,-26.557,-15.999,19.846,-35.845
2025-07-01,-7.127,21.398,-28.525,-16.876,20.801,-37.677
2025-08-01,-7.799,22.64,-30.439,-23.99,21.622,-45.613
2025-09-01,-15.098,24.288,-39.386,-30.132,23.302,-53.434
2025-10-01,-11.464,27.848,-39.312,-24.991,26.903,-51.894
2025-11-01,-24.182,26.631,-50.813,-33.62,25.976,-59.596
2025-12-01,-37.478,29.049,-66.527,-59.924,27.391,-87.315
2026-01-01,-39.645,29.799,-69.444,-68.692,27.618,-96.31
2026-02-01,-40.927,30.949,-71.876,-79.892,27.958,-107.85
2026-03-01,-43.121,31.709,-74.83,-87.448,28.251,-115.7
2026-04-01,-42.98,35.447,-78.427,-95.241,31.109,-126.35
2026-05-01,-43.608,37.431,-81.039,-104.383,32.22,-136.604
2026-06-01,-42.907,41.885,-84.792,-113.323,35.433,-148.756
